commonName,minHeight,maxHeight,minSpread,maxSpread,avgHeight,avgSpread,AreaIn2,AreaFt2,VolumeIn3,VolumeFt3,numberOfPlants
Red Maple,480,840,360,720,660,540,"229,022.10","1,590.43","151,154,588.93","87,473.72",0
Red Oak,720,900,720,900,810,810,"515,299.74","3,578.47","417,392,785.35","241,546.75",0
Riddell's Goldenrod,24,36,12,24,30,18,254.47,1.77,"7,634.07",4.42,0
River Birch,480,840,480,720,660,600,"282,743.34","1,963.50","186,610,603.62","107,992.25",0
Robin's Plantain,10,14,12,16,12,14,153.94,1.07,"1,847.26",1.07,0
Rose Mallow,48,60,36,36,54,36,"1,017.88",7.07,"54,965.31",31.81,0
Rose Turtlehead,30,48,18,18,39,18,254.47,1.77,"9,924.29",5.74,0
Rose Verbena,6,12,12,24,9,18,254.47,1.77,"2,290.22",1.33,0
Roseshell Azalea,24,96,24,96,60,60,"2,827.43",19.63,"169,646.00",98.17,0
Rosinweed,48,72,16,24,60,20,314.16,2.18,"18,849.56",10.91,0
Rough Blazing Star,24,36,12,18,30,15,176.71,1.23,"5,301.44",3.07,0
Roughleaf Dogwood,96,180,72,144,138,108,"9,160.88",63.62,"1,264,202.02",731.60,0
Roundleaf groundsel,3,4,8,16,3.5,12,113.10,0.79,395.84,0.23,0
Royal Catchfly,24,36,12,18,30,15,176.71,1.23,"5,301.44",3.07,0
Royal Fern,24,36,24,24,30,24,452.39,3.14,"13,571.68",7.85,0
Rusty Blackhaw,120,240,120,180,180,150,"17,671.46",122.72,"3,180,862.56","1,840.78",0
Sand Phlox,4,6,12,18,5,15,176.71,1.23,883.57,0.51,0
Sassafras,360,720,300,360,540,330,"85,529.86",593.96,"46,186,124.40","26,728.08",0
Scarlet Elder; Red Elderberry,48,96,36,72,72,54,"2,290.22",15.90,"164,895.92",95.43,0
Scouring Rush,18,36,18,24,27,21,346.36,2.41,"9,351.74",5.41,0
Sedum,2,4,12,12,3,12,113.10,0.79,339.29,0.20,0
Sensitive Fern,12,36,24,36,24,30,706.86,4.91,"16,964.60",9.82,0
Serviceberry,180,300,180,240,240,210,"34,636.06",240.53,"8,312,654.16","4,810.56",0
Shagbark Hickory,720,960,480,720,840,600,"282,743.34","1,963.50","237,504,404.61","137,444.68",0
Sharp-lobed Hepatica,48,72,48,72,60,60,"2,827.43",19.63,"169,646.00",98.17,0
Shingle Oak,600,720,600,840,660,720,"407,150.41","2,827.43","268,719,269.22","155,508.84",0
Shining Blue Star,36,48,36,48,42,42,"1,385.44",9.62,"58,188.58",33.67,0
Shooting Star,12,12,6,12,12,9,63.62,0.44,763.41,0.44,0
Short's Sedge,18,24,18,24,21,21,346.36,2.41,"7,273.57",4.21,0
Shortbeak Sedge/Plains Oval Sedge,72,144,72,144,108,108,"9,160.88",63.62,"989,375.49",572.56,0
Shortleaf Pine,600,1200,240,240,900,240,"45,238.93",314.16,"40,715,040.79","23,561.94",0
Showy Goldenrod,36,48,18,24,42,21,346.36,2.41,"14,547.14",8.42,0
Showy Primrose,10,24,12,18,17,15,176.71,1.23,"3,004.15",1.74,0
Shrubby St. John's Wort,36,60,24,48,48,36,"1,017.88",7.07,"48,858.05",28.27,0
Shumard Oak,480,720,480,720,600,600,"282,743.34","1,963.50","169,646,003.29","98,174.77",0
Sideoats Grama,24,36,12,36,30,24,452.39,3.14,"13,571.68",7.85,0
Silky Dogwood,72,96,36,96,84,66,"3,421.19",23.76,"287,380.33",166.31,0
Silvery Spleenwort,12,18,24,36,15,30,706.86,4.91,"10,602.88",6.14,0
Sky Blue Aster,24,36,18,24,30,21,346.36,2.41,"10,390.82",6.01,0
Slender Mountain Mint,20,36,18,24,28,21,346.36,2.41,"9,698.10",5.61,0
Smooth Aster,24,36,16,20,30,18,254.47,1.77,"7,634.07",4.42,0
Smooth Phlox,18,30,18,24,24,21,346.36,2.41,"8,312.65",4.81,0
Smooth Sumac,108,144,108,144,126,126,"12,468.98",86.59,"1,571,091.64",909.20,0
Soft Rush,24,36,12,20,30,16,201.06,1.40,"6,031.86",3.49,0
Solomon's Seal,24,48,12,18,36,15,176.71,1.23,"6,361.73",3.68,0
Southern Blue Flag,15,40,18,24,27.5,21,346.36,2.41,"9,524.92",5.51,0
Southern Maidenhair Fern,10,18,15,24,14,19.5,298.65,2.07,"4,181.07",2.42,0
Southern Prairie Aster,12,24,18,18,18,18,254.47,1.77,"4,580.44",2.65,0
Spicebush,72,144,72,144,108,108,"9,160.88",63.62,"989,375.49",572.56,0
Spider Milkweed,18,24,24,24,21,24,452.39,3.14,"9,500.18",5.50,0
Spring Beauty,5,10,3,4,7.5,3.5,9.62,0.07,72.16,0.04,0
Star Tickseed,18,36,18,30,27,24,452.39,3.14,"12,214.51",7.07,0
Stiff Goldenrod,30,48,12,16,39,14,153.94,1.07,"6,003.58",3.47,0
Strawberry Bush,72,96,60,72,84,66,"3,421.19",23.76,"287,380.33",166.31,0
Sugar Maple,480,900,600,720,690,660,"342,119.44","2,375.83","236,062,413.58","136,610.19",0
Sullivant's Milkweed,30,42,18,36,36,27,572.56,3.98,"20,611.99",11.93,0
Supplejack,240,720,72,144,480,108,"9,160.88",63.62,"4,397,224.41","2,544.69",0
Swamp Chestnut Oak,720,960,660,780,840,720,"407,150.41","2,827.43","342,006,342.64","197,920.34",0
Swamp White Oak,600,960,600,840,780,720,"407,150.41","2,827.43","317,577,318.17","183,783.17",0
Swamp/Marsh Milkweed,36,60,24,36,48,30,706.86,4.91,"33,929.20",19.63,0
Sweet Coneflower,48,72,24,36,60,30,706.86,4.91,"42,411.50",24.54,0
Sweetgum,720,1080,720,960,900,840,"554,176.94","3,848.45","498,759,249.68","288,633.83",0
Switch Grass,36,72,24,60,54,42,"1,385.44",9.62,"74,813.89",43.30,0
Sycamore,900,1200,900,1200,1050,1050,"865,901.48","6,013.20","909,196,548.90","526,155.41",0
Tall Coreopsis,40,60,24,24,50,24,452.39,3.14,"22,619.47",13.09,0
Tall Larkspur,36,48,18,24,42,21,346.36,2.41,"14,547.14",8.42,0
Texas Green Eyes,30,72,20,30,51,25,490.87,3.41,"25,034.57",14.49,0
Texas Sedge,10,12,10,12,11,11,95.03,0.66,"1,045.36",0.60,0
Thread-Leaved Blue Star,16,24,18,24,20,21,346.36,2.41,"6,927.21",4.01,0
Trumpet Creeper,240,480,8,8,360,8,50.27,0.35,"18,095.57",10.47,0
Tulip Poplar,840,12000,480,720,6420,600,"282,743.34","1,963.50","1,815,212,235.24","1,050,470.04",0
Tussock Sedge,12,18,18,30,15,24,452.39,3.14,"6,785.84",3.93,0
Vernal Witch Hazel,72,120,72,96,96,84,"5,541.77",38.48,"532,009.87",307.88,0
Virgin's Bower,144,240,36,72,192,54,"2,290.22",15.90,"439,722.44",254.47,0
Virginia Bluebells,12,24,12,12,18,12,113.10,0.79,"2,035.75",1.18,0
Virginia Creeper,360,600,60,120,480,90,"6,361.73",44.18,"3,053,628.06","1,767.15",0
Virginia Sweetspire,36,60,48,72,48,60,"2,827.43",19.63,"135,716.80",78.54,0
Virginia Wild Rye,24,48,12,24,36,18,254.47,1.77,"9,160.88",5.30,0
Wafer Ash,96,240,96,180,168,138,"14,957.12",103.87,"2,512,796.60","1,454.16",0
Wahoo,144,240,8,12,192,10,78.54,0.55,"15,079.64",8.73,0
Washington Hawthorn,300,360,240,300,330,270,"57,255.53",397.61,"18,894,323.62","10,934.22",0
Water Canna,48,60,24,36,54,30,706.86,4.91,"38,170.35",22.09,0
Water Lily,1,1,72,108,1,90,"6,361.73",44.18,"6,361.73",3.68,0
Western Soapberry,300,360,240,360,330,300,"70,685.83",490.87,"23,326,325.45","13,499.03",0
Western Sunflower,30,40,12,26,35,19,283.53,1.97,"9,923.51",5.74,0
White Ash,600,960,600,960,780,780,"477,836.24","3,318.31","372,712,269.24","215,689.97",0
White False Indigo,48,48,24,36,48,30,706.86,4.91,"33,929.20",19.63,0
White Oak,600,960,600,1080,780,840,"554,176.94","3,848.45","432,258,016.39","250,149.32",0
White Prairie Clover,36,48,24,36,42,30,706.86,4.91,"29,688.05",17.18,0
White Sage,30,42,24,36,36,30,706.86,4.91,"25,446.90",14.73,0
White Turtlehead,12,24,12,12,18,12,113.10,0.79,"2,035.75",1.18,0
Whorled Milkweed,18,24,12,18,21,15,176.71,1.23,"3,711.01",2.15,0
Wild Bergamot,24,48,18,24,36,21,346.36,2.41,"12,468.98",7.22,0
Wild Geranium,16,22,12,18,19,15,176.71,1.23,"3,357.58",1.94,0
Wild Ginger,4,4,12,12,4,12,113.10,0.79,452.39,0.26,0
